"sale_date","order_count","total_revenue"
"11/8/11","132","37275.71"
"11/9/11","124","57961.04"
"12/1/10","127","46051.26"
"12/1/11","164","43762.99"
"12/10/10","78","32005.35"
"12/12/10","50","17217.62"
"12/13/10","75","27429.43"
"12/14/10","131","26913.41"
"12/15/10","93","29310.79"
"12/16/10","142","48011.53"
"12/17/10","60","18162.42"
"12/19/10","20","7399.79"
"12/2/10","160","45775.43"
"12/2/11","124","44135.68"
"12/20/10","77","17574.58"
"12/21/10","36","15750.46"
"12/22/10","19","4821.12"
"12/23/10","26","5384.17"
"12/3/10","64","22598.46"
"12/4/11","66","20320.31"
"12/5/10","94","31380.6"
"12/5/11","130","56634.53"
"12/6/10","111","30465.08"
"12/6/11","141","43659.2"
"12/7/10","79","53125.99"
"12/7/11","117","68991.27"
"12/8/10","134","38048.68"
"12/8/11","133","49442.19"
"12/9/10","132","37177.85"
"12/9/11","46","15578.21"
"2/1/11","71","25780.68"
"2/10/11","64","12729.59"
"2/11/11","82","16113.64"
"2/13/11","24","5535.4"
"2/14/11","48","22522.51"
"2/15/11","58","37623.2"
"2/16/11","68","23280.93"
"2/17/11","59","17663.99"
"2/18/11","54","14182.71"
"2/2/11","63","16977.48"
"2/20/11","29","9578.89"
"2/21/11","44","32245.14"
"2/22/11","60","28976.65"
"2/23/11","57","19249.23"
"2/24/11","62","21318.88"
"2/25/11","47","15811.79"
"2/27/11","35","9491.05"
"2/28/11","52","15105.07"
"2/3/11","50","22048.75"
"2/4/11","50","17992.49"
"2/6/11","11","3457.11"
"2/7/11","46","22993.94"
"2/8/11","45","13946.25"
"2/9/11","23","11920.78"
"3/1/11","60","22748.62"
"3/10/11","79","23909.39"
"3/11/11","56","17416.1"
"3/13/11","17","4137.62"
"3/14/11","58","25854.29"
"3/15/11","49","14686.73"
"3/16/11","55","21057.04"
"3/17/11","82","30928.25"
"3/18/11","58","23109.56"
"3/2/11","64","18292.65"
"3/20/11","60","19965.3"
"3/21/11","64","15705.8"
"3/22/11","46","18861.06"
"3/23/11","64","21516.2"
"3/24/11","77","36562.1"
"3/25/11","60","27136.57"
"3/27/11","45","8963.03"
"3/28/11","63","19450.94"
"3/29/11","58","37010.07"
"3/3/11","66","32303.87"
"3/30/11","81","29191.39"
"3/31/11","80","22356.79"
"3/4/11","47","17290.54"
"3/6/11","34","9588.28"
"3/7/11","92","19541.81"
"3/8/11","47","22166.46"
"3/9/11","57","20214.15"
"4/1/11","79","23314.04"
"4/10/11","37","9363.88"
"4/11/11","68","19941.18"
"4/12/11","76","23577.91"
"4/13/11","74","23995.55"
"4/14/11","103","34894.21"
"4/15/11","42","18014.49"
"4/17/11","44","12704.3"
"4/18/11","86","19872.99"
"4/19/11","69","18351.99"
"4/20/11","78","25287.87"
"4/21/11","77","27736.13"
"4/26/11","70","21122.52"
"4/27/11","73","23241.32"
"4/28/11","68","20063.64"
"4/3/11","21","6853.45"
"4/4/11","70","20836.55"
"4/5/11","60","26968.43"
"4/6/11","43","12639.31"
"4/7/11","71","16543.88"
"4/8/11","75","20724.21"
"5/1/11","21","6964.66"
"5/10/11","89","27614.84"
"5/11/11","85","31440.81"
"5/12/11","103","57910.44"
"5/13/11","68","25879.95"
"5/15/11","30","9680.05"
"5/16/11","67","35667.02"
"5/17/11","103","45430.61"
"5/18/11","78","32736.72"
"5/19/11","109","30336.09"
"5/20/11","82","25028.01"
"5/22/11","62","24205.37"
"5/23/11","96","27361.44"
"5/24/11","89","31831.35"
"5/25/11","70","21731.73"
"5/26/11","70","32479.24"
"5/27/11","72","20953.48"
"5/29/11","25","7208.3"
"5/3/11","77","13298.86"
"5/31/11","59","17448.55"
"5/4/11","71","27450.15"
"5/5/11","100","24809.03"
"5/6/11","86","30564.37"
"5/8/11","67","18808.92"
"5/9/11","70","21411.09"
"6/1/11","60","14986.4"
"6/10/11","57","18551.34"
"6/12/11","39","12439.01"
"6/13/11","80","17634.83"
"6/14/11","57","33178.92"
"6/15/11","64","43592.23"
"6/16/11","94","31854.82"
"6/17/11","53","18783.78"
"6/19/11","64","22360.01"
"6/2/11","66","27780.43"
"6/20/11","79","25248.27"
"6/21/11","71","18911.14"
"6/22/11","61","21139.37"
"6/23/11","84","21587.3"
"6/24/11","51","15987.25"
"6/26/11","36","6175.17"
"6/27/11","48","13220.3"
"6/28/11","58","30350.33"
"6/29/11","54","12257.74"
"6/3/11","46","14880.01"
"6/30/11","74","40780.28"
"6/5/11","70","25520.35"
"6/6/11","72","15293.3"
"6/7/11","86","33594.84"
"6/8/11","88","29868.71"
"6/9/11","95","42037.03"
"7/1/11","53","11686.05"
"7/10/11","29","5692.07"
"7/11/11","60","19904.54"
"7/12/11","56","17577.68"
"7/13/11","61","19284.05"
"7/14/11","82","31000.64"
"7/15/11","46","11499.8"
"7/17/11","52","16938.7"
"7/18/11","66","11639.74"
"7/19/11","79","45733.03"
"7/20/11","65","21074.14"
"7/21/11","90","29692.78"
"7/22/11","47","14524.14"
"7/24/11","62","26173.66"
"7/25/11","59","19487.81"
"7/26/11","63","16932.34"
"7/27/11","47","22820.84"
"7/28/11","102","53635.51"
"7/29/11","66","16544.42"
"7/3/11","27","5977.14"
"7/31/11","42","33389.04"
"7/4/11","47","30487.09"
"7/5/11","75","25568.8"
"7/6/11","72","22852.52"
"7/7/11","87","26805.67"
"7/8/11","58","17316.28"
"8/1/11","42","19789.74"
"8/10/11","55","18543.44"
"8/11/11","78","54085.17"
"8/12/11","48","17912.42"
"8/14/11","37","5150.18"
"8/15/11","52","17205.54"
"8/16/11","55","15941.89"
"8/17/11","57","46481.36"
"8/18/11","91","53201.55"
"8/19/11","60","17238.54"
"8/2/11","56","19940.73"
"8/21/11","41","14539.19"
"8/22/11","66","27950.13"
"8/23/11","68","22234.97"
"8/24/11","94","37846.71"
"8/25/11","86","22087.37"
"8/26/11","48","24035.43"
"8/28/11","39","10784.78"
"8/3/11","77","25579.65"
"8/30/11","30","8608.3"
"8/31/11","80","11278.67"
"8/4/11","86","57606.05"
"8/5/11","57","19585.12"
"8/7/11","32","7462.17"
"8/8/11","52","16378.02"
"8/9/11","57","24900.88"
"9/1/11","80","37296.6"
"9/11/11","78","35465.47"
"9/12/11","89","27290.38"
"9/13/11","69","47973.17"
"9/14/11","80","21795.63"
"9/15/11","108","69668.64"
"9/16/11","54","22788.82"
"9/18/11","28","15692.33"
"9/19/11","88","46203.5"
"9/2/11","78","29720.1"
"9/20/11","71","103385.26"
"9/21/11","92","32886.45"
"9/22/11","132","55594.4"
"9/23/11","77","30605.83"
"9/25/11","78","31210.92"
"9/26/11","73","28636.94"
"9/27/11","98","28703.57"
"9/28/11","105","38691.87"
"9/29/11","112","41792.25"
"9/30/11","84","39669.23"
"9/4/11","52","16903.93"
"9/5/11","73","35385.6"
"9/6/11","67","25198.53"
"9/7/11","52","21679.54"
"9/8/11","79","22700.5"
"9/9/11","81","24500.91"
