customer_id,last_purchase,frequency,monetary,recency,R,F,M,RFM_Score
12394,2011-05-06 14:01:00,2,1272.48,216,1,2,3,123
12395,2011-08-19 15:18:00,12,3018.63,111,2,3,3,233
12397,2011-07-27 14:21:00,2,2409.9,134,2,2,3,223
12398,2011-10-25 10:27:00,1,1635.66,45,3,2,3,323
12399,2011-08-12 13:15:00,4,1108.65,118,2,3,2,232
12401,2011-02-09 13:50:00,1,84.3,302,1,2,1,121
12402,2011-01-20 13:49:00,1,225.6,322,1,2,1,121
12403,2011-10-21 10:51:00,1,427.7,49,3,2,2,322
12405,2011-07-14 08:52:00,1,1710.39,148,2,2,3,223
12406,2011-06-09 10:23:00,2,3415.3,183,1,2,3,123
12407,2011-07-06 09:49:00,5,1708.12,156,2,3,3,233
12408,2011-09-02 10:27:00,5,2888.55,98,2,3,3,233
12409,2011-09-22 10:38:00,3,11072.67,78,3,2,3,323
12410,2011-02-04 10:39:00,2,693.33,308,1,2,2,122
12412,2011-09-26 10:16:00,3,1226.88,74,3,2,3,323
12413,2011-04-17 15:33:00,3,758.1,235,1,2,2,122
12414,2011-05-06 14:51:00,3,562.41,216,1,2,2,122
12415,2011-09-01 13:51:00,21,124914.53,98,2,3,3,233
12417,2011-08-04 18:51:00,9,3649.1,126,2,3,3,233
12418,2011-08-19 11:08:00,1,668.58,112,2,2,2,222
12420,2011-10-07 08:55:00,1,600.39,63,3,2,2,322
12421,2011-08-17 10:56:00,4,807.04,114,2,3,2,232
12422,2011-09-05 09:48:00,3,803.56,95,2,2,2,222
12423,2011-08-31 08:55:00,8,1859.31,100,2,3,3,233
12424,2011-06-30 12:06:00,2,1760.96,162,1,2,3,123
12425,2011-09-22 17:31:00,1,777.2,77,3,2,2,322
12426,2011-05-29 12:26:00,1,582.73,193,1,2,2,122
12427,2010-12-03 10:44:00,3,825.8,371,1,2,2,122
12428,2011-08-11 12:58:00,9,7956.46,119,2,3,3,233
12429,2011-06-20 12:14:00,4,3750.4,172,1,3,3,133
12430,2011-10-27 15:09:00,1,256.4,42,3,2,1,321
12431,2011-08-12 14:19:00,15,6487.45,118,2,3,3,233
12432,2011-06-22 13:12:00,5,5059.32,169,1,3,3,133
12433,2011-09-09 13:44:00,7,13375.87,90,2,3,3,233
12434,2011-09-16 12:38:00,2,806.14,83,3,2,2,322
12435,2011-09-21 09:06:00,2,7829.89,79,3,2,3,323
12436,2011-09-01 12:09:00,1,509.01,99,2,2,2,222
12437,2011-09-22 16:58:00,18,4951.41,77,3,3,3,333
12438,2011-07-22 13:29:00,2,2906.85,139,2,2,3,223
12441,2010-12-08 10:45:00,1,173.55,366,1,2,1,121
12442,2011-12-06 14:22:00,1,172.06,2,3,2,1,321
12444,2011-09-15 09:43:00,5,5005.46,85,2,3,3,233
12445,2011-11-17 18:43:00,1,133.4,21,3,2,1,321
12446,2011-10-13 12:50:00,1,1002.31,56,3,2,2,322
12447,2011-04-10 13:25:00,1,476.49,242,1,2,2,122
12448,2011-10-26 13:46:00,1,449.45,43,3,2,2,322
12449,2011-09-09 09:13:00,4,4067.29,91,2,3,3,233
12450,2011-07-06 14:41:00,2,197.88,155,2,2,1,221
12451,2011-05-05 17:34:00,5,9035.52,217,1,3,3,133
12452,2011-11-23 08:05:00,2,430.57,16,3,2,2,322
12453,2011-07-28 14:08:00,1,707.09,133,2,2,2,222
12454,2011-10-14 17:13:00,1,3528.34,55,3,2,3,323
12455,2011-09-27 15:31:00,6,2466.86,72,3,3,3,333
12456,2011-07-31 15:25:00,3,3181.04,130,2,2,3,223
12457,2011-09-19 09:04:00,7,2363.23,81,3,3,3,333
12458,2011-09-29 15:25:00,2,947.4,70,3,2,2,322
12461,2011-09-06 16:57:00,2,826.88,93,2,2,2,222
12462,2011-02-09 14:44:00,2,1189.59,302,1,2,2,122
12463,2011-06-17 14:28:00,4,1344.78,174,1,3,3,133
12464,2011-08-25 13:33:00,8,1212.05,105,2,3,3,233
12465,2011-06-23 13:37:00,2,742.19,168,1,2,2,122
12468,2011-06-05 11:36:00,2,729.54,187,1,2,2,122
12471,2011-09-22 17:25:00,30,19824.05,77,3,3,3,333
12472,2011-07-24 11:55:00,7,6572.11,138,2,3,3,233
12473,2011-08-17 12:04:00,5,3938.55,114,2,3,3,233
12474,2011-09-02 10:53:00,18,7375.79,98,2,3,3,233
12475,2011-10-17 10:10:00,1,723.38,53,3,2,2,322
12476,2011-09-16 10:56:00,11,6816.42,84,3,3,3,333
12477,2011-08-31 09:11:00,6,13219.74,100,2,3,3,233
12478,2011-12-06 09:56:00,1,680.99,3,3,2,2,322
12479,2011-11-28 13:26:00,1,527.2,10,3,2,2,322
12480,2011-07-19 14:04:00,4,3281.63,142,2,3,3,233
12481,2011-06-13 10:52:00,10,5596.32,179,1,3,3,133
12483,2011-09-02 11:42:00,8,2484.98,98,2,3,3,233
12484,2011-08-31 09:44:00,6,4541.72,100,2,3,3,233
12488,2011-09-25 10:34:00,3,1298.66,75,3,2,3,323
12489,2011-01-07 13:13:00,1,334.93,335,1,2,1,121
12490,2011-09-07 13:22:00,10,5417.93,92,2,3,3,233
12491,2011-11-01 12:18:00,1,460.4,37,3,2,2,322
12492,2011-08-26 14:51:00,2,263.21,104,2,2,1,221
12493,2011-06-27 10:17:00,2,433.74,165,1,2,2,122
12494,2011-07-01 12:17:00,7,1246.1,160,1,3,3,133
12497,2011-09-19 12:29:00,1,1043.1,80,3,2,2,322
12498,2011-11-18 12:53:00,3,403.7,20,3,2,2,322
12500,2011-08-25 12:50:00,11,4257.82,105,2,3,3,233
12501,2011-01-07 12:28:00,1,2169.39,335,1,2,3,123
12502,2011-09-05 11:52:00,5,3723.87,95,2,3,3,233
12504,2011-11-09 14:56:00,2,482.05,29,3,2,2,322
12506,2011-04-21 08:54:00,1,73.5,232,1,2,1,121
12507,2011-07-07 10:20:00,3,1304.81,155,2,2,3,223
12508,2011-11-13 15:37:00,2,398.27,25,3,2,2,322
12509,2011-02-28 14:45:00,1,176.5,283,1,2,1,121
12510,2011-07-20 10:15:00,2,982.57,142,2,2,2,222
12512,2011-10-04 14:55:00,2,138.03,65,3,2,1,321
12513,2011-08-19 10:51:00,1,612.29,112,2,2,2,222
12514,2011-03-17 16:38:00,1,1017.68,266,1,2,2,122
12515,2010-12-21 15:43:00,1,383.7,352,1,2,1,121
12516,2011-09-23 09:13:00,2,1312.06,77,3,2,3,323
12517,2011-09-27 11:50:00,5,2502.84,73,3,3,3,333
12518,2011-09-23 15:45:00,5,2056.89,76,3,3,3,333
12519,2011-10-07 09:26:00,1,340.84,63,3,2,1,321
12520,2011-09-21 15:23:00,5,2634.26,78,3,3,3,333
12521,2011-07-20 10:51:00,1,599.68,142,2,2,2,222
12522,2011-10-31 15:30:00,2,192.72,38,3,2,1,321
12523,2011-09-21 14:43:00,11,1789.77,78,3,3,3,333
12524,2011-06-30 15:30:00,8,4485.72,161,1,3,3,133
12526,2011-09-06 14:19:00,3,1316.66,93,2,2,3,223
12527,2011-09-19 11:55:00,3,348.71,81,3,2,1,321
12528,2011-08-17 12:30:00,6,1933.48,113,2,3,3,233
12530,2011-08-08 10:59:00,4,1662.28,123,2,3,3,233
12531,2011-11-25 11:12:00,1,125.22,14,3,2,1,321
12532,2011-11-09 13:47:00,1,349.83,29,3,1,1,311
12534,2011-08-01 10:26:00,1,1089.18,130,2,1,2,212
12535,2011-09-09 08:48:00,2,716.35,91,2,2,2,222
12536,2011-10-27 14:20:00,3,12601.83,42,3,2,3,323
12538,2011-11-10 17:16:00,1,363.95,28,3,1,1,311
12539,2011-03-22 16:00:00,4,5568.35,261,1,3,3,133
12540,2011-09-08 13:38:00,17,13400.24,91,2,3,3,233
12541,2011-06-19 15:59:00,3,981.18,172,1,2,2,122
12544,2011-11-03 16:15:00,1,372.7,35,3,1,1,311
12545,2011-09-25 13:39:00,2,1000.39,74,3,2,2,322
12546,2011-09-23 09:44:00,2,1161.5,77,3,2,2,322
12547,2011-05-26 12:38:00,2,207.8,196,1,2,1,121
12548,2011-06-26 15:35:00,1,95.2,165,1,1,1,111
12550,2011-09-21 14:35:00,1,964.83,78,3,1,2,312
12551,2010-12-17 11:23:00,1,168.0,357,1,1,1,111
12552,2011-11-01 10:02:00,2,437.82,38,3,2,2,322
12553,2011-08-21 14:42:00,10,3692.28,109,2,3,3,233
12556,2011-07-11 13:35:00,2,603.71,150,2,2,2,222
12557,2011-07-04 13:19:00,5,11990.96,157,2,3,3,233
12558,2011-12-02 10:41:00,1,269.96,7,3,1,1,311
12559,2011-02-02 09:49:00,2,561.71,310,1,2,2,122
12560,2011-08-19 15:22:00,3,2134.01,111,2,2,3,223
12561,2011-02-10 11:39:00,1,238.85,302,1,1,1,111
12562,2011-09-19 09:15:00,7,3781.74,81,3,3,3,333
12564,2011-03-23 14:55:00,1,456.9,260,1,1,2,112
12565,2011-02-24 10:34:00,1,145.92,288,1,1,1,111
12566,2011-09-14 14:30:00,1,351.65,85,2,1,1,211
12567,2011-09-04 14:22:00,10,9401.28,95,2,3,3,233
12569,2011-09-08 15:22:00,32,4124.69,91,2,3,3,233
12571,2011-08-10 12:35:00,2,519.61,120,2,2,2,222
12572,2011-12-01 09:20:00,2,1020.42,8,3,2,2,322
12573,2011-04-26 15:52:00,1,160.54,226,1,1,1,111
12574,2011-01-28 09:20:00,1,218.45,315,1,1,1,111
12576,2011-09-05 10:06:00,5,1315.83,95,2,3,3,233
12577,2010-12-15 16:21:00,3,657.8,358,1,2,2,122
12578,2011-11-18 13:30:00,2,2794.51,20,3,2,3,323
12579,2011-09-22 17:15:00,1,440.42,77,3,1,2,312
12580,2011-04-07 10:24:00,1,415.7,246,1,1,2,112
12581,2011-10-31 08:56:00,1,197.71,39,3,1,1,311
12582,2011-04-15 08:45:00,2,511.36,238,1,2,2,122
12583,2011-09-30 12:58:00,15,7281.38,69,3,3,3,333
12584,2011-09-20 13:21:00,9,2338.15,79,3,3,3,333
12585,2011-04-19 13:39:00,2,2040.1,233,1,2,3,123
12586,2011-11-22 16:24:00,1,196.94,16,3,1,1,311
12587,2011-12-02 12:47:00,1,144.0,6,3,1,1,311
12588,2011-10-31 15:01:00,1,214.9,38,3,1,1,311
12589,2011-07-18 12:05:00,2,646.68,144,2,2,2,222
12590,2011-05-12 14:52:00,2,9864.26,210,1,2,3,123
12591,2011-01-26 14:35:00,1,452.85,316,1,1,2,112
12592,2011-09-08 15:04:00,2,437.6,91,2,2,2,222
12593,2011-08-23 12:43:00,3,418.1,107,2,2,2,222
12594,2011-08-10 14:26:00,10,3338.22,120,2,3,3,233
12596,2011-04-11 13:22:00,2,618.27,241,1,2,2,122
12597,2011-06-09 16:04:00,4,3811.22,182,1,3,3,133
12598,2011-09-29 16:52:00,8,3023.08,70,3,3,3,333
12599,2011-08-05 12:38:00,7,1032.58,125,2,3,2,232
12600,2011-09-16 14:20:00,10,2599.04,83,3,3,3,333
12601,2011-06-03 10:17:00,5,577.06,189,1,3,2,132
12602,2011-10-12 11:22:00,1,153.12,58,3,1,1,311
12603,2011-11-18 10:42:00,1,739.2,21,3,1,2,312
12604,2011-09-21 14:08:00,2,254.18,78,3,2,1,321
12607,2011-10-10 16:06:00,1,1579.51,59,3,1,3,313
12609,2011-09-22 16:34:00,3,1126.85,77,3,2,2,322
12610,2011-08-05 13:52:00,5,2099.54,125,2,3,3,233
12611,2011-10-18 13:12:00,1,1193.32,51,3,1,2,312
12612,2011-09-26 15:35:00,1,704.04,73,3,1,2,312
12613,2011-05-26 09:18:00,5,3344.38,197,1,3,3,133
12614,2011-03-07 10:22:00,1,315.6,277,1,1,1,111
12615,2011-09-29 10:23:00,4,2291.19,71,3,3,3,333
12616,2011-09-05 15:17:00,2,713.3,94,2,2,2,222
12617,2011-11-10 14:39:00,1,355.53,28,3,1,1,311
12618,2011-11-18 11:10:00,1,177.31,21,3,1,1,311
12619,2011-09-23 09:00:00,9,3641.24,77,3,3,3,333
12620,2011-09-20 10:06:00,3,1339.41,80,3,2,3,323
12621,2011-09-19 14:56:00,20,13689.67,80,3,3,3,333
12622,2011-04-21 16:39:00,1,180.1,231,1,1,1,111
12623,2011-03-08 13:50:00,1,305.1,275,1,1,1,111
12624,2011-08-25 15:04:00,2,641.13,105,2,2,2,222
12625,2011-05-12 09:54:00,2,2683.82,211,1,2,3,123
12626,2011-08-04 14:20:00,9,6620.48,126,2,3,3,233
12627,2011-09-04 14:09:00,7,4478.53,95,2,3,3,233
12628,2011-12-05 13:15:00,3,786.46,3,3,2,2,322
12630,2011-11-30 10:48:00,2,1270.88,9,3,2,3,323
12631,2011-10-13 13:53:00,1,640.5,56,3,1,2,312
12633,2011-08-02 09:35:00,4,2163.98,129,2,3,3,233
12635,2011-09-11 11:04:00,2,1689.18,89,2,2,3,223
12637,2011-09-09 11:48:00,8,6021.9,91,2,3,3,233
12638,2011-11-06 13:11:00,1,671.69,32,3,1,2,312
12639,2011-04-15 12:48:00,1,486.1,237,1,1,2,112
12640,2011-09-19 12:01:00,3,1174.58,81,3,2,2,322
12641,2011-08-16 13:26:00,1,185.9,114,2,1,1,211
12642,2011-08-24 09:23:00,3,1013.26,107,2,2,2,222
12643,2011-08-03 12:56:00,6,3344.64,127,2,3,3,233
12644,2011-08-02 10:33:00,1,477.91,129,2,1,2,212
12645,2011-08-22 12:40:00,4,1775.18,108,2,3,3,233
12646,2011-12-05 10:14:00,2,1346.97,4,3,2,3,323
12647,2011-09-22 17:14:00,12,3722.82,77,3,3,3,333
12648,2011-07-08 11:55:00,1,318.05,154,2,1,1,211
12649,2011-08-24 14:41:00,3,623.51,106,2,2,2,222
12650,2011-12-06 16:34:00,1,314.44,2,3,1,1,311
12651,2011-01-09 12:46:00,1,114.0,333,1,1,1,111
12652,2011-01-12 15:00:00,1,919.98,330,1,1,2,112
12653,2011-07-14 10:41:00,2,2209.85,148,2,2,3,223
12654,2011-05-26 10:43:00,5,601.98,197,1,3,2,132
12656,2011-09-28 11:38:00,5,4051.17,72,3,3,3,333
12657,2011-09-22 11:40:00,4,1643.18,78,3,3,3,333
12658,2011-11-21 10:22:00,1,686.05,18,3,1,2,312
12659,2011-11-10 11:53:00,1,91.68,29,3,1,1,311
12660,2011-11-28 13:26:00,1,245.1,10,3,1,1,311
12662,2011-08-24 13:42:00,11,3849.78,106,2,3,3,233
12664,2011-09-13 15:35:00,9,4881.88,86,2,3,3,233
12665,2011-01-19 08:34:00,1,63.0,324,1,1,1,111
12667,2011-10-12 17:00:00,1,620.13,57,3,1,2,312
12668,2011-03-25 14:53:00,4,3807.15,258,1,3,3,133
12669,2011-07-12 09:54:00,3,2744.03,150,2,2,3,223
12670,2011-09-02 09:51:00,5,2996.05,98,2,3,3,233
12672,2011-01-14 09:20:00,1,225.9,329,1,1,1,111
12673,2011-12-04 13:55:00,2,610.52,4,3,2,2,322
12674,2011-09-09 10:51:00,4,1970.6,91,2,3,3,233
12676,2011-09-30 09:25:00,6,1331.39,70,3,3,3,333
12678,2011-09-22 10:52:00,12,17628.46,78,3,3,3,333
12679,2011-09-13 10:34:00,4,1113.02,87,2,3,2,232
12680,2011-09-27 12:53:00,4,880.81,72,3,3,2,332
12681,2011-09-23 12:09:00,22,13787.54,77,3,3,3,333
12682,2011-09-19 12:19:00,31,12288.22,80,3,3,3,333
12683,2011-09-08 10:35:00,15,8476.57,92,2,3,3,233
12684,2011-06-22 11:20:00,7,2283.63,170,1,3,3,133
12685,2011-09-08 10:32:00,6,2863.08,92,2,3,3,233
12686,2010-12-03 09:51:00,1,89.14,371,1,1,1,111
12688,2011-08-18 08:49:00,1,4873.81,113,2,1,3,213
12689,2011-08-04 10:04:00,2,1247.61,127,2,2,3,223
12690,2011-05-18 09:09:00,1,389.01,205,1,1,2,112
12691,2011-07-17 14:56:00,6,1035.8,144,2,3,2,232
12693,2011-08-04 17:51:00,4,855.91,126,2,3,2,232
12694,2011-09-30 13:06:00,2,869.67,69,3,2,2,322
12695,2011-08-24 12:58:00,4,582.1,106,2,3,2,232
12697,2011-07-31 14:17:00,3,957.59,130,2,2,2,222
12700,2011-07-06 13:14:00,4,4939.99,155,2,3,3,233
12701,2011-09-21 10:47:00,2,797.71,79,3,2,2,322
12702,2011-11-20 10:36:00,1,219.0,19,3,1,1,311
12703,2011-09-29 17:52:00,1,283.55,70,3,1,1,311
12704,2011-09-22 18:14:00,8,2340.84,77,3,3,3,333
12705,2011-09-23 12:55:00,9,6868.29,76,3,3,3,333
12707,2011-02-21 08:38:00,1,603.42,291,1,1,2,112
12708,2011-09-28 13:30:00,10,2712.91,71,3,3,3,333
12709,2011-09-04 14:06:00,15,9736.52,95,2,3,3,233
12710,2011-09-04 12:00:00,3,1149.02,96,2,2,2,222
12712,2011-08-25 09:18:00,13,4396.13,106,2,3,3,233
12713,2011-12-09 12:16:00,1,848.55,0,3,1,2,312
12714,2011-08-25 09:55:00,5,4708.86,106,2,3,3,233
12715,2011-08-25 15:22:00,1,353.86,105,2,1,1,211
12716,2011-07-29 13:28:00,2,1053.49,132,2,2,2,222
12717,2011-07-11 14:47:00,2,1030.98,150,2,2,2,222
12718,2011-09-29 16:38:00,1,238.25,70,3,1,1,311
12719,2011-12-04 13:45:00,2,644.95,4,3,2,2,322
12720,2011-09-06 13:47:00,25,5781.73,93,2,3,3,233
12721,2011-09-21 12:26:00,6,2656.13,78,3,3,3,333
12722,2011-09-15 14:50:00,4,997.63,84,3,3,2,332
12723,2011-12-06 10:19:00,5,725.07,3,3,3,2,332
12724,2011-09-19 12:36:00,4,1031.41,80,3,3,2,332
12725,2010-12-03 15:45:00,1,427.8,370,1,1,2,112
12726,2011-09-14 14:19:00,7,2609.1,85,2,3,3,233
12727,2011-09-05 13:38:00,7,3980.7,94,2,3,3,233
12728,2011-09-29 15:31:00,4,836.33,70,3,3,2,332
12729,2011-08-18 11:40:00,1,453.01,113,2,1,2,212
12731,2011-09-30 12:06:00,12,18895.91,70,3,3,3,333
12732,2011-06-13 11:33:00,1,236.26,179,1,1,1,111
12733,2011-04-19 16:19:00,1,383.95,233,1,1,1,111
12734,2010-12-22 12:47:00,1,110.4,351,1,1,1,111
12735,2011-01-06 14:26:00,2,779.57,336,1,2,2,122
12736,2011-01-11 07:57:00,1,234.0,332,1,1,1,111
12738,2010-12-02 18:27:00,1,155.35,371,1,1,1,111
12739,2011-09-22 13:00:00,2,1013.04,77,3,2,2,322
12740,2011-10-07 10:44:00,1,427.6,63,3,1,2,312
12743,2011-07-28 16:21:00,2,546.43,133,2,2,2,222
12744,2011-07-18 11:55:00,7,21279.29,144,2,3,3,233
12747,2011-08-22 10:38:00,11,4196.01,109,2,3,3,233
12748,2011-09-09 13:20:00,210,33719.73,90,2,3,3,233
12749,2011-08-01 12:50:00,5,4090.88,129,2,3,3,233
12750,2011-08-03 09:13:00,1,275.88,128,2,1,1,211
12752,2011-09-19 13:32:00,1,4366.78,80,3,1,3,313
12753,2011-07-27 09:32:00,6,21429.39,135,2,3,3,233
12754,2011-04-18 09:00:00,3,3010.74,235,1,2,3,123
12755,2011-03-04 12:42:00,2,3811.95,279,1,2,3,123
12756,2011-09-14 09:31:00,1,112.08,86,2,1,1,211
12757,2011-07-20 12:05:00,13,7857.1,142,2,3,3,233
12758,2011-08-15 10:22:00,2,2791.59,116,2,2,3,223
12759,2011-06-21 09:26:00,3,1531.44,171,1,2,3,123
12762,2011-12-02 10:23:00,2,1898.52,7,3,2,3,323
12763,2011-07-24 14:12:00,2,494.08,137,2,2,2,222
12764,2011-01-27 10:19:00,1,1693.88,316,1,1,3,113
12766,2011-07-13 13:37:00,7,6989.63,148,2,3,3,233
12769,2011-04-15 10:25:00,1,1143.6,238,1,1,2,112
12770,2011-05-13 09:33:00,1,1351.45,210,1,1,3,113
12772,2011-10-11 09:19:00,1,892.47,59,3,1,2,312
12775,2011-06-03 07:48:00,5,1386.04,189,1,3,3,133
12778,2011-06-09 15:29:00,6,822.23,182,1,3,2,132
12779,2011-06-03 10:37:00,8,3981.36,189,1,3,3,133
12781,2011-02-28 08:43:00,2,826.74,284,1,2,2,122
12782,2011-07-13 10:30:00,5,2330.92,149,2,3,3,233
12783,2011-09-25 15:35:00,6,2225.91,74,3,3,3,333
12784,2011-11-30 15:38:00,2,574.42,8,3,2,2,322
12785,2010-12-10 13:48:00,1,311.95,363,1,1,1,111
12787,2011-09-09 12:24:00,3,463.66,90,2,2,2,222
12789,2011-10-05 13:34:00,1,91.85,64,3,1,1,311
12790,2011-05-31 14:14:00,1,324.92,191,1,1,1,111
12791,2010-12-01 11:27:00,1,192.6,373,1,1,1,111
12792,2011-03-28 11:36:00,1,400.54,256,1,1,2,112
12793,2010-12-03 15:14:00,2,545.48,370,1,2,2,122
12794,2011-09-02 12:01:00,2,860.41,98,2,2,2,222
12795,2011-11-21 10:27:00,1,430.48,18,3,1,2,312
12797,2010-12-09 10:55:00,1,254.03,365,1,1,1,111
12798,2011-06-22 10:11:00,3,6977.04,170,1,2,3,123
12802,2011-06-06 09:36:00,1,427.58,186,1,1,2,112
12808,2011-06-08 12:21:00,3,483.65,183,1,2,2,122
12809,2011-06-15 10:51:00,1,489.31,177,1,1,2,112
12811,2011-03-24 09:42:00,3,514.85,260,1,2,2,122
12812,2011-10-26 09:54:00,1,229.64,44,3,1,1,311
12814,2011-08-30 12:11:00,1,125.92,101,2,1,1,211
12815,2011-07-15 10:21:00,2,1063.46,147,2,2,2,222
12816,2011-09-05 12:41:00,2,572.2,94,2,2,2,222
12817,2011-03-03 16:28:00,1,166.04,280,1,1,1,111
12818,2011-03-23 12:06:00,1,1542.08,261,1,1,3,113
12820,2011-09-26 11:49:00,4,942.34,74,3,3,2,332
12821,2011-05-09 15:51:00,1,92.72,213,1,1,1,111
12822,2011-09-30 10:04:00,2,948.88,70,3,2,2,322
12823,2011-09-26 07:35:00,5,1759.5,74,3,3,3,333
12824,2011-10-11 12:49:00,1,397.12,58,3,1,2,312
12826,2011-09-29 10:55:00,7,1474.72,71,3,3,3,333
12827,2011-12-04 12:17:00,3,430.15,4,3,2,2,322
12828,2011-09-01 17:14:00,6,1018.71,98,2,3,2,232
12829,2010-12-14 14:54:00,2,293.0,359,1,2,1,121
12830,2011-09-09 15:02:00,6,6814.64,90,2,3,3,233
12831,2011-03-22 13:02:00,1,215.05,261,1,1,1,111
12832,2011-09-02 13:48:00,2,383.03,97,2,2,1,221
12833,2011-07-17 13:46:00,1,417.38,144,2,1,2,212
12834,2011-03-02 09:49:00,1,312.38,282,1,1,1,111
12836,2011-07-25 15:22:00,4,2612.86,136,2,3,3,233
12837,2011-06-19 16:07:00,1,134.1,172,1,1,1,111
12838,2010-12-01 11:57:00,2,683.13,373,1,2,2,122
12839,2011-09-08 13:17:00,14,5591.42,91,2,3,3,233
12840,2011-07-19 09:29:00,4,2726.77,143,2,3,3,233
12841,2011-09-11 12:13:00,25,4022.35,89,2,3,3,233
12842,2011-09-30 15:33:00,2,1118.99,69,3,2,2,322
12843,2011-07-03 12:21:00,8,1702.26,158,1,3,3,133
12844,2011-08-01 13:11:00,2,325.96,129,2,2,1,221
12845,2011-03-17 13:34:00,4,354.09,266,1,3,1,131
12847,2011-11-17 13:16:00,1,871.54,21,3,1,2,312
12849,2011-03-16 12:26:00,2,1050.89,267,1,2,2,122
12851,2011-09-04 12:41:00,1,135.18,95,2,1,1,211
12852,2011-02-18 08:47:00,1,311.55,294,1,1,1,111
12853,2011-07-28 11:29:00,6,1957.1,134,2,3,3,233
12854,2011-09-22 12:15:00,3,1324.5,78,3,2,3,323
12855,2010-12-02 09:37:00,1,38.1,372,1,1,1,111
12856,2011-12-02 10:52:00,6,2179.93,7,3,3,3,333
12857,2011-05-13 10:20:00,2,1106.4,210,1,2,2,122
12863,2011-10-18 14:15:00,1,521.2,51,3,1,2,312
12864,2011-07-24 13:03:00,1,147.12,137,2,1,1,211
12865,2011-08-08 10:11:00,2,1568.23,123,2,2,3,223
12866,2011-03-01 14:11:00,1,559.12,282,1,1,2,112
12867,2011-09-04 13:35:00,7,4036.82,95,2,3,3,233
12868,2011-06-07 10:42:00,6,1607.06,185,1,3,3,133
12871,2011-09-16 15:07:00,2,380.64,83,3,2,1,321
12872,2010-12-09 14:44:00,2,599.97,364,1,2,2,122
12873,2011-03-02 14:58:00,1,374.0,281,1,1,1,111
12875,2011-07-19 15:30:00,2,343.23,142,2,2,1,221
12876,2011-05-27 13:34:00,2,2218.02,195,1,2,3,123
12877,2011-09-22 13:05:00,12,1535.77,77,3,3,3,333
12878,2011-04-17 13:07:00,2,854.99,235,1,2,2,122
12879,2011-09-09 12:11:00,3,573.22,91,2,2,2,222
12881,2011-03-09 11:44:00,1,298.0,275,1,1,1,111
12882,2011-11-06 11:22:00,2,1463.04,33,3,2,3,323
12883,2011-09-11 15:18:00,4,703.47,88,2,3,2,232
12884,2011-09-12 13:10:00,1,309.05,87,2,1,1,211
12885,2011-08-08 11:45:00,3,1175.22,123,2,2,2,222
12886,2011-05-04 11:21:00,2,1378.4,219,1,2,3,123
12888,2011-05-09 16:02:00,2,354.12,213,1,2,1,121
12890,2011-11-15 17:26:00,1,380.47,23,3,1,1,311
12891,2011-06-07 12:31:00,3,331.0,184,1,2,1,121
